"ID []","Local []","Irradiance [W/m^2]","T_ambient [Degrees Celsius]","T_ground [Degrees Celsius]","Wind [m/s]","Cloud [okta]","Pressure [Pa]","Rain [mm/hr]","Diffuse [W/m^2]","Direct [W/m^2]","Elevation [Degrees]","Azimuth [Degrees]"
1,"0000-01-01 00:30:00",0,3.533,2.333,4.258,6.733,101513.887,0.085,0,0,-60.006,22.087
2,"0000-01-01 01:30:00",0,3.403,2.215,4.14,6.457,101521.62,0.066,0,0,-54.77,45.96
3,"0000-01-01 02:30:00",0.002,3.217,2.094,4.168,6.078,101513.737,0.071,0.002,0,-47.121,64.319
4,"0000-01-01 03:30:00",0,3.127,1.978,4.127,5.965,101508.415,0.063,0,0,-38.293,78.823
5,"0000-01-01 04:30:00",0,3.092,1.868,4.09,5.932,101506.323,0.069,0,0,-29.022,91.145
6,"0000-01-01 05:30:00",0,3.015,1.722,4.129,5.999,101506.279,0.07,0,0,-19.781,102.423
7,"0000-01-01 06:30:00",0,2.944,1.692,4.169,5.93,101521.857,0.063,0,0,-10.925,113.409
8,"0000-01-01 07:30:00",0.603,2.926,1.672,4.124,6.09,101551.556,0.111,0.601,0.002,-2.784,124.64
9,"0000-01-01 08:30:00",19.933,3.169,1.719,4.118,6.409,101575.652,0.135,16.977,2.957,4.292,136.49
10,"0000-01-01 09:30:00",56.044,3.636,1.857,4.333,6.303,101587.226,0.148,45.129,10.917,9.922,149.188
11,"0000-01-01 10:30:00",85.163,4.138,2.06,4.44,6.186,101563.725,0.136,62.965,22.196,13.721,162.74
12,"0000-01-01 11:30:00",107.334,4.71,2.262,4.55,6.153,101528.093,0.073,75.196,32.136,15.371,176.891
13,"0000-01-01 12:30:00",102.625,5.105,2.475,4.587,6.294,101491.877,0.105,75.47,27.156,14.721,191.161
14,"0000-01-01 13:30:00",77.888,5.188,2.596,4.576,6.457,101475.468,0.061,60.998,16.891,11.829,205.024
15,"0000-01-01 14:30:00",40.511,4.931,2.623,4.332,6.288,101474.722,0.048,33.838,6.673,6.955,218.113
16,"0000-01-01 15:30:00",6.151,4.48,2.601,4.116,6.09,101468.996,0.06,5.879,0.272,0.464,230.321
17,"0000-01-01 16:30:00",0,4.163,2.622,3.93,5.955,101463.482,0.035,0,0,-7.255,241.79
18,"0000-01-01 17:30:00",0,4.007,2.746,4.154,6.035,101451.357,0.073,0,0,-15.838,252.834
19,"0000-01-01 18:30:00",0,3.893,2.603,4.289,6.116,101435.656,0.078,0,0,-24.949,263.915
20,"0000-01-01 19:30:00",0.002,3.842,2.479,4.403,6.163,101426.79,0.045,0.002,0,-34.248,275.677
21,"0000-01-01 20:30:00",0.002,3.742,2.334,4.45,6.383,101417.228,0.078,0.002,0,-43.332,289.073
22,"0000-01-01 21:30:00",0,3.675,2.245,4.513,6.361,101401.044,0.176,0,0,-51.602,305.529
23,"0000-01-01 22:30:00",0,3.6,2.172,4.514,6.47,101394.196,0.232,0,0,-58.06,326.879
24,"0000-01-01 23:30:00",0,3.442,2.073,4.517,6.366,101377.444,0.143,0,0,-61.224,332.001
25,"0000-01-02 00:30:00",0.002,3.304,1.987,4.506,6.249,101353.3,0.243,0.002,0,-59.955,21.836
26,"0000-01-02 01:30:00",0.003,3.284,1.919,4.513,6.615,101349.503,0.244,0.003,0,-54.749,45.726
27,"0000-01-02 02:30:00",0.007,3.276,1.858,4.553,6.61,101338.091,0.197,0.007,0,-47.121,64.118
28,"0000-01-02 03:30:00",0.007,3.27,1.808,4.564,6.443,101323.28,0.178,0.007,0,-38.302,78.65
29,"0000-01-02 04:30:00",0,3.232,1.732,4.559,6.48,101301.772,0.179,0,0,-29.033,90.989
30,"0000-01-02 05:30:00",0,3.245,1.645,4.482,6.395,101327.145,0.186,0,0,-19.79,102.277
31,"0000-01-02 06:30:00",0,3.234,1.702,4.333,6.228,101339.442,0.139,0,0,-10.926,113.269
32,"0000-01-02 07:30:00",0.44,3.301,1.746,4.233,6.41,101377.03,0.082,0.44,0.001,-2.774,124.502
33,"0000-01-02 08:30:00",23.074,3.69,1.817,4.188,6.197,101417.684,0.086,18.306,4.767,4.317,136.355
34,"0000-01-02 09:30:00",64.473,4.248,1.944,4.408,6.181,101440.048,0.086,46.731,17.742,9.965,149.055
35,"0000-01-02 10:30:00",96.617,4.857,2.107,4.706,6.032,101443.891,0.129,68.492,28.127,13.783,162.614
36,"0000-01-02 11:30:00",116.341,5.358,2.217,4.918,5.993,101433.123,0.212,78.144,38.197,15.453,176.775
37,"0000-01-02 12:30:00",115.424,5.585,2.41,5.105,5.727,101419.982,0.192,74.852,40.57,14.82,191.063
38,"0000-01-02 13:30:00",87.884,5.603,2.579,5.06,5.86,101424.639,0.218,59.914,27.97,11.943,204.944
39,"0000-01-02 14:30:00",45.619,5.341,2.724,4.742,5.73,101448.317,0.168,34.939,10.679,7.079,218.05
40,"0000-01-02 15:30:00",7.831,4.856,2.808,4.539,5.812,101474.584,0.147,7.062,0.768,0.595,230.274
41,"0000-01-02 16:30:00",0.002,4.499,2.916,4.422,5.648,101498.062,0.087,0.002,0,-7.12,241.755
42,"0000-01-02 17:30:00",0,4.244,3.057,4.432,5.08,101521.104,0.061,0,0,-15.702,252.807
43,"0000-01-02 18:30:00",0,4.034,2.792,4.546,5.049,101545.825,0.118,0,0,-24.811,263.892
44,"0000-01-02 19:30:00",0.015,3.83,2.53,4.687,5.062,101570.231,0.11,0.015,0,-34.111,275.653
45,"0000-01-02 20:30:00",0.017,3.665,2.295,4.847,5.12,101596.851,0.119,0.017,0,-43.195,289.037
46,"0000-01-02 21:30:00",0.015,3.54,2.101,4.803,5.282,101616.718,0.17,0.015,0,-51.469,305.463
47,"0000-01-02 22:30:00",0.005,3.398,1.876,4.669,5.161,101639.444,0.184,0.005,0,-57.937,326.753
48,"0000-01-02 23:30:00",0.005,3.28,1.641,4.478,5.016,101644.994,0.159,0.005,0,-61.125,331.794
49,"0000-01-03 00:30:00",0.005,3.136,1.529,4.481,5.265,101637.97,0.084,0.005,0,-59.894,21.583
50,"0000-01-03 01:30:00",0.014,3.158,1.409,4.404,5.488,101644.84,0.052,0.014,0,-54.721,45.487
51,"0000-01-03 02:30:00",0.012,3.019,1.306,4.354,5.597,101636.584,0.049,0.012,0,-47.114,63.912
52,"0000-01-03 03:30:00",0.018,2.963,1.244,4.445,5.839,101625.003,0.087,0.018,0,-38.305,78.47
53,"0000-01-03 04:30:00",0.002,2.903,1.142,4.407,6.065,101613.06,0.065,0.002,0,-29.038,90.828
54,"0000-01-03 05:30:00",0,2.828,1.049,4.521,6.403,101610.807,0.102,0,0,-19.791,102.127
55,"0000-01-03 06:30:00",0,2.798,1.117,4.492,6.509,101615.186,0.143,0,0,-10.922,113.125
56,"0000-01-03 07:30:00",0.528,2.792,1.219,4.674,6.382,101620.151,0.095,0.526,0.001,-2.757,124.361
57,"0000-01-03 08:30:00",22.157,3.122,1.355,4.777,6.554,101628.041,0.045,17.4,4.758,4.349,136.217
58,"0000-01-03 09:30:00",58.524,3.822,1.627,4.968,6.883,101631.309,0.114,43.794,14.73,10.015,148.921
59,"0000-01-03 10:30:00",91.419,4.416,1.825,5.216,6.985,101592.768,0.209,67.233,24.186,13.853,162.486
60,"0000-01-03 11:30:00",102.982,4.825,1.963,5.351,7.035,101536.669,0.184,73.912,29.07,15.543,176.661
61,"0000-01-03 12:30:00",96.535,5.095,2.122,5.436,6.993,101486.703,0.165,68.744,27.79,14.927,190.966
62,"0000-01-03 13:30:00",73.713,5.2,2.28,5.382,6.908,101451.093,0.163,55.189,18.525,12.064,204.867
63,"0000-01-03 14:30:00",36.651,4.964,2.37,5.169,6.731,101448.754,0.249,30.049,6.601,7.21,217.992
64,"0000-01-03 15:30:00",6.026,4.448,2.391,5.014,6.818,101459.825,0.298,5.464,0.562,0.732,230.233
65,"0000-01-03 16:30:00",0.002,3.921,2.401,4.978,6.512,101480.729,0.243,0.002,0,-6.979,241.726
66,"0000-01-03 17:30:00",0,3.826,2.482,5.023,6.472,101495.499,0.084,0,0,-15.56,252.787
67,"0000-01-03 18:30:00",0,3.62,2.336,4.972,6.409,101505.029,0.079,0,0,-24.669,263.876
68,"0000-01-03 19:30:00",0,3.523,2.219,5.034,6.18,101517.146,0.128,0,0,-33.968,275.636
69,"0000-01-03 20:30:00",0,3.555,2.13,5.103,6.166,101524.706,0.111,0,0,-43.053,289.009
70,"0000-01-03 21:30:00",0,3.532,2.101,5.223,6.356,101524.285,0.103,0,0,-51.329,305.406
71,"0000-01-03 22:30:00",0,3.536,2.064,5.1,6.406,101526.721,0.088,0,0,-57.808,326.635
72,"0000-01-03 23:30:00",0,3.459,2.014,4.899,6.24,101511.03,0.094,0,0,-61.02,331.592
73,"0000-01-04 00:30:00",0,3.398,1.999,4.83,6.187,101487.449,0.092,0,0,-59.825,21.33
74,"0000-01-04 01:30:00",0,3.381,2.035,4.806,6.113,101482.171,0.092,0,0,-54.686,45.244
75,"0000-01-04 02:30:00",0,3.318,2.026,4.843,6.309,101462.4,0.156,0,0,-47.099,63.701
76,"0000-01-04 03:30:00",0,3.312,2.02,4.876,6.385,101438.747,0.138,0,0,-38.3,78.286
77,"0000-01-04 04:30:00",0,3.398,2.03,4.923,6.586,101416.265,0.105,0,0,-29.036,90.662
78,"0000-01-04 05:30:00",0,3.395,2.022,4.938,6.661,101410.131,0.088,0,0,-19.785,101.973
79,"0000-01-04 06:30:00",0,3.372,2.069,4.832,6.421,101393.697,0.106,0,0,-10.909,112.978
80,"0000-01-04 07:30:00",0.438,3.406,2.145,4.884,6.245,101426.927,0.135,0.438,0,-2.733,124.217
81,"0000-01-04 08:30:00",20.701,3.79,2.256,4.826,6.562,101459.944,0.079,17.407,3.294,4.389,136.076
82,"0000-01-04 09:30:00",61.493,4.353,2.346,4.956,6.667,101446.594,0.11,47.161,14.331,10.073,148.785
83,"0000-01-04 10:30:00",91.384,4.816,2.442,5.137,6.584,101424.509,0.1,68.663,22.721,13.931,162.359
84,"0000-01-04 11:30:00",101.317,5.115,2.514,5.399,6.727,101378.598,0.154,75.769,25.549,15.641,176.547
85,"0000-01-04 12:30:00",93.379,5.311,2.728,5.509,6.783,101331.028,0.108,72.228,21.152,15.038,190.896
86,"0000-01-04 13:30:00",72.011,5.318,2.919,5.493,6.626,101303.327,0.067,56.323,15.689,12.192,204.793
87,"0000-01-04 14:30:00",38.87,5.165,3.083,5.25,6.688,101301.475,0.078,29.779,9.089,7.346,217.939
88,"0000-01-04 15:30:00",6.381,4.84,3.161,5.203,6.758,101317.806,0.046,5.672,0.71,0.875,230.196
89,"0000-01-04 16:30:00",0.014,4.573,3.233,5.098,6.84,101328.895,0.029,0.014,0,-6.834,241.702
90,"0000-01-04 17:30:00",0.007,4.449,3.41,5.089,6.841,101339.248,0.05,0.007,0,-15.414,252.773
91,"0000-01-04 18:30:00",0,4.282,3.251,5.043,6.599,101347.61,0.027,0,0,-24.522,263.867
92,"0000-01-04 19:30:00",0.003,4.188,3.097,5.046,6.402,101354.16,0.037,0.003,0,-33.821,275.626
93,"0000-01-04 20:30:00",0.002,4.018,2.932,5.117,6.445,101362.086,0.077,0.002,0,-42.906,288.988
94,"0000-01-04 21:30:00",0,3.911,2.754,4.999,6.365,101367.304,0.086,0,0,-51.185,305.357
95,"0000-01-04 22:30:00",0,3.704,2.567,5.027,6.322,101371.743,0.076,0,0,-57.672,326.526
96,"0000-01-04 23:30:00",0,3.677,2.39,4.836,6.596,101374.411,0.051,0,0,-60.907,331.395
97,"0000-01-05 00:30:00",0,3.474,2.209,4.637,6.389,101364.97,0.073,0,0,-59.748,21.078
98,"0000-01-05 01:30:00",0,3.404,2.136,4.509,6.182,101371.487,0.098,0,0,-54.643,44.998
99,"0000-01-05 02:30:00",0,3.312,2.022,4.553,6.038,101371.353,0.157,0,0,-47.078,63.484
100,"0000-01-05 03:30:00",0.002,3.231,1.925,4.528,6.067,101355.834,0.133,0.002,0,-38.288,78.097
101,"0000-01-05 04:30:00",0,3.101,1.82,4.476,6.053,101341.276,0.099,0,0,-29.028,90.492
102,"0000-01-05 05:30:00",0,3.1,1.707,4.569,6.294,101337.382,0.082,0,0,-19.774,101.815
103,"0000-01-05 06:30:00",0,2.949,1.721,4.507,6.192,101344.045,0.243,0,0,-10.89,112.827
104,"0000-01-05 07:30:00",0.834,2.983,1.734,4.675,6.333,101352.856,0.128,0.833,0.001,-2.702,124.071
105,"0000-01-05 08:30:00",26.983,3.376,1.778,4.763,6.499,101362.12,0.128,20.032,6.95,4.435,135.933
106,"0000-01-05 09:30:00",65.912,3.978,1.864,5.125,6.501,101366.634,0.14,47.292,18.618,10.138,148.648
107,"0000-01-05 10:30:00",97.537,4.513,1.977,5.392,6.48,101339.088,0.125,66.023,31.518,14.014,162.231
108,"0000-01-05 11:30:00",117.606,4.957,2.07,5.515,6.376,101292.997,0.132,73.85,43.755,15.746,176.435
109,"0000-01-05 12:30:00",110.332,5.244,2.291,5.533,6.554,101257.682,0.132,68.682,41.651,15.164,190.779
110,"0000-01-05 13:30:00",79.176,5.304,2.48,5.34,6.48,101245.684,0.113,54.841,24.336,12.325,204.722
111,"0000-01-05 14:30:00",42.609,5.084,2.64,5.143,6.536,101255.648,0.127,32.838,9.771,7.49,217.889
112,"0000-01-05 15:30:00",7.131,4.629,2.772,4.799,6.491,101282.164,0.105,6.745,0.388,1.023,230.164
113,"0000-01-05 16:30:00",0.005,4.28,2.929,4.451,6.453,101291.638,0.167,0.005,0,-6.684,241.684
114,"0000-01-05 17:30:00",0.005,4.186,3.097,4.338,6.503,101299.946,0.1,0.005,0,-15.263,252.765
115,"0000-01-05 18:30:00",0,4.081,2.92,4.379,6.524,101306.233,0.077,0,0,-24.37,263.863
116,"0000-01-05 19:30:00",0,3.932,2.775,4.385,6.469,101316.409,0.061,0,0,-33.669,275.624
117,"0000-01-05 20:30:00",0,3.82,2.609,4.391,6.218,101316.573,0.084,0,0,-42.754,288.977
118,"0000-01-05 21:30:00",0,3.698,2.432,4.302,6.191,101315.002,0.069,0,0,-51.034,305.317
119,"0000-01-05 22:30:00",0,3.635,2.283,4.264,6.414,101317.3,0.079,0,0,-57.529,326.424
120,"0000-01-05 23:30:00",0,3.588,2.153,4.247,6.412,101312.257,0.079,0,0,-60.786,331.203
121,"0000-01-06 00:30:00",0,3.498,2.005,4.326,6.043,101312.96,0.095,0,0,-59.664,20.827
122,"0000-01-06 01:30:00",0,3.367,1.83,4.263,6.094,101337.477,0.095,0,0,-54.593,44.749
123,"0000-01-06 02:30:00",0,3.318,1.692,4.227,6.388,101356.864,0.097,0,0,-47.049,63.263
124,"0000-01-06 03:30:00",0,3.23,1.558,4.184,6.372,101365.633,0.099,0,0,-38.27,77.903
125,"0000-01-06 04:30:00",0,3.078,1.387,4.13,6.443,101355.289,0.076,0,0,-29.013,90.318
126,"0000-01-06 05:30:00",0,2.915,1.218,4.059,6.406,101379.263,0.062,0,0,-19.756,101.653
127,"0000-01-06 06:30:00",0,2.804,1.198,3.981,6.267,101414.244,0.02,0,0,-10.864,112.672
128,"0000-01-06 07:30:00",0.763,2.675,1.197,3.894,6.378,101484.79,0.021,0.763,0,-2.664,123.921
129,"0000-01-06 08:30:00",27.082,3.155,1.292,3.963,6.478,101507.164,0.007,21.235,5.849,4.49,135.788
130,"0000-01-06 09:30:00",79.607,3.826,1.524,4.145,6.212,101545.463,0.01,54.627,24.983,10.209,148.51
131,"0000-01-06 10:30:00",126.807,4.493,1.781,4.234,6.141,101546.221,0.013,77.507,49.3,14.107,162.103
132,"0000-01-06 11:30:00",140.009,4.959,1.997,4.358,6.237,101527.927,0.039,84.348,55.663,15.858,176.324
133,"0000-01-06 12:30:00",131.771,5.21,2.279,4.35,6.146,101508.448,0.058,76.084,55.688,15.292,190.69
134,"0000-01-06 13:30:00",90.359,5.201,2.402,4.341,6.362,101503.466,0.082,57.61,32.749,12.467,204.656
135,"0000-01-06 14:30:00",47.359,4.963,2.483,4.07,6.614,101519.008,0.084,34.12,13.24,7.639,217.844
136,"0000-01-06 15:30:00",8.151,4.448,2.466,3.745,6.483,101547.872,0.105,7.243,0.906,1.175,230.138
137,"0000-01-06 16:30:00",0.005,4.147,2.485,3.558,6.544,101549.293,0.118,0.005,0,-6.529,241.672
138,"0000-01-06 17:30:00",0,4.063,2.623,3.693,6.549,101551.574,0.059,0,0,-15.107,252.763
139,"0000-01-06 18:30:00",0,3.943,2.521,3.931,6.281,101557.618,0.061,0,0,-24.214,263.867
140,"0000-01-06 19:30:00",0,3.712,2.409,4.008,6.238,101568.711,0.162,0,0,-33.513,275.63
141,"0000-01-06 20:30:00",0,3.52,2.272,4.005,6.196,101577.03,0.102,0,0,-42.598,288.972
142,"0000-01-06 21:30:00",0.003,3.475,2.163,3.965,6.657,101582.002,0.056,0.003,0,-50.879,305.286
143,"0000-01-06 22:30:00",0.005,3.465,2.036,3.978,6.808,101586.818,0.038,0.005,0,-57.381,326.33
144,"0000-01-06 23:30:00",0,3.431,1.874,4.091,6.717,101581.101,0.054,0,0,-60.658,331.017
145,"0000-01-07 00:30:00",0,3.406,1.797,4.064,7.331,101577.32,0.038,0,0,-59.57,20.576
146,"0000-01-07 01:30:00",0.003,3.46,1.749,4.043,7.203,101583.83,0.041,0.003,0,-54.535,44.496
147,"0000-01-07 02:30:00",0.014,3.479,1.703,4.124,7.15,101583.683,0.077,0.014,0,-47.014,63.038
148,"0000-01-07 03:30:00",0.005,3.458,1.697,4.11,7.003,101573.978,0.111,0.005,0,-38.244,77.704
149,"0000-01-07 04:30:00",0.009,3.465,1.731,4.027,7.045,101551.133,0.107,0.009,0,-28.991,90.139
150,"0000-01-07 05:30:00",0,3.513,1.771,4.132,6.942,101556.014,0.096,0,0,-19.732,101.487
151,"0000-01-07 06:30:00",0.033,3.54,1.933,4.184,7.246,101575.124,0.114,0.033,0,-10.83,112.515
152,"0000-01-07 07:30:00",0.81,3.578,2.063,4.223,6.836,101600.561,0.088,0.807,0.001,-2.618,123.769
153,"0000-01-07 08:30:00",22.217,3.854,2.215,4.409,6.547,101626.763,0.049,18.864,3.351,4.551,135.641
154,"0000-01-07 09:30:00",65.088,4.353,2.41,4.709,6.287,101649.111,0.037,49.161,15.926,10.29,148.37
155,"0000-01-07 10:30:00",104.273,4.867,2.632,5.013,6.451,101640.888,0.022,73.005,31.267,14.206,161.975
156,"0000-01-07 11:30:00",115.958,5.208,2.828,5.211,6.563,101613.496,0.067,80.757,35.201,15.977,176.213
157,"0000-01-07 12:30:00",110.973,5.397,2.936,5.274,6.358,101593.285,0.129,80.11,30.863,15.427,190.603
158,"0000-01-07 13:30:00",87.705,5.459,2.993,5.162,6.383,101576.721,0.15,66.639,21.066,12.615,204.593
159,"0000-01-07 14:30:00",50.422,5.258,2.951,4.914,6.286,101590.086,0.072,41.396,9.027,7.794,217.804
160,"0000-01-07 15:30:00",10.265,4.778,2.824,4.597,6.48,101614.046,0.038,9.346,0.921,1.334,230.116
161,"0000-01-07 16:30:00",0.005,4.367,2.788,4.489,6.377,101622.761,0.069,0.005,0,-6.37,241.666
162,"0000-01-07 17:30:00",0,4.188,2.745,4.617,6.217,101635.157,0.081,0,0,-14.947,252.767
163,"0000-01-07 18:30:00",0,4.016,2.578,4.547,6.09,101643.775,0.039,0,0,-24.054,263.878
164,"0000-01-07 19:30:00",0,3.888,2.477,4.65,5.91,101645.456,0.034,0,0,-33.352,275.642
165,"0000-01-07 20:30:00",0,3.84,2.352,4.705,5.9,101645.639,0.059,0,0,-42.437,288.977
166,"0000-01-07 21:30:00",0.009,3.788,2.262,4.639,5.802,101643.543,0.078,0.009,0,-50.718,305.264
167,"0000-01-07 22:30:00",0.012,3.655,2.133,4.614,6.116,101636.29,0.086,0.012,0,-57.226,326.245
168,"0000-01-07 23:30:00",0.014,3.565,1.968,4.745,6.12,101616.072,0.137,0.014,0,-60.523,330.837
169,"0000-01-08 00:30:00",0.015,3.48,1.838,4.673,5.804,101595.592,0.106,0.015,0,-59.47,20.328
170,"0000-01-08 01:30:00",0.015,3.368,1.762,4.637,5.764,101591.611,0.154,0.015,0,-54.469,44.242
171,"0000-01-08 02:30:00",0.018,3.358,1.67,4.667,5.825,101584.817,0.188,0.018,0,-46.97,62.809
172,"0000-01-08 03:30:00",0.016,3.24,1.493,4.714,5.972,101563.595,0.279,0.016,0,-38.215,77.505
173,"0000-01-08 04:30:00",0.018,3.347,1.567,4.645,5.545,101560.02,0.207,0.018,0,-29.025,89.877
174,"0000-01-08 05:30:00",0.018,3.345,1.539,4.662,5.602,101566.226,0.105,0.018,0,-19.676,101.344
175,"0000-01-08 06:30:00",0.018,3.367,1.694,4.66,5.803,101575.552,0.093,0.018,0,-10.789,112.354
176,"0000-01-08 07:30:00",0.853,3.483,1.827,4.639,6.311,101601.714,0.058,0.851,0.003,-2.566,123.614
177,"0000-01-08 08:30:00",23.986,3.857,2.015,4.823,6.306,101625.967,0.079,21.157,2.829,4.619,135.492
178,"0000-01-08 09:30:00",69.046,4.422,2.259,5.011,6.071,101645.695,0.087,53.031,16.016,10.376,148.229
179,"0000-01-08 10:30:00",109.073,5.022,2.516,5.336,6.459,101633.424,0.083,77.469,31.604,14.314,161.848
180,"0000-01-08 11:30:00",127.276,5.436,2.74,5.601,6.549,101596.848,0.144,86.974,40.304,16.103,176.106
181,"0000-01-08 12:30:00",116.027,5.666,2.847,5.634,6.544,101560.873,0.163,80.112,35.915,15.57,190.518
182,"0000-01-08 13:30:00",91.32,5.71,2.892,5.53,6.542,101545.414,0.144,64.612,26.709,12.769,204.534
183,"0000-01-08 14:30:00",53.452,5.399,2.885,5.268,6.413,101548.861,0.162,39.997,13.456,7.954,217.768
184,"0000-01-08 15:30:00",11.427,4.759,2.78,4.886,5.97,101560.263,0.077,9.879,1.547,1.498,230.1
185,"0000-01-08 16:30:00",0.003,4.235,2.685,4.531,5.718,101567.896,0.035,0.003,0,-6.205,241.664
186,"0000-01-08 17:30:00",0,3.95,2.632,4.508,5.363,101569.687,0.066,0,0,-14.782,252.777
187,"0000-01-08 18:30:00",0,3.749,2.419,4.692,5.283,101572.221,0.066,0,0,-23.889,263.896
188,"0000-01-08 19:30:00",0,3.612,2.209,4.443,5.485,101565.536,0.058,0,0,-33.187,275.661
189,"0000-01-08 20:30:00",0,3.452,2,4.352,5.469,101554.161,0.035,0,0,-42.271,288.99
190,"0000-01-08 21:30:00",0,3.314,1.848,4.208,5.794,101545.195,0.115,0,0,-50.553,305.25
191,"0000-01-08 22:30:00",0,3.221,1.644,4.097,5.746,101529.807,0.129,0,0,-57.064,326.171
192,"0000-01-08 23:30:00",0,3.085,1.435,4.057,5.837,101509.13,0.114,0,0,-60.38,330.663
193,"0000-01-09 00:30:00",0,3.111,1.35,4.202,6.077,101490.656,0.136,0,0,-59.361,20.079
194,"0000-01-09 01:30:00",0,3.025,1.283,4.274,5.877,101493.001,0.115,0,0,-54.394,43.985
195,"0000-01-09 02:30:00",0,2.969,1.216,4.348,5.642,101476.829,0.053,0,0,-46.919,62.575
196,"0000-01-09 03:30:00",0,2.85,1.153,4.403,5.543,101451.617,0.029,0,0,-38.174,77.295
197,"0000-01-09 04:30:00",0,2.792,1.086,4.509,5.573,101453.366,0.019,0,0,-28.927,89.768
198,"0000-01-09 05:30:00",0,2.771,1.044,4.555,5.429,101447.901,0.019,0,0,-19.661,101.142
199,"0000-01-09 06:30:00",0,2.779,1.114,4.589,5.615,101460.24,0.079,0,0,-10.743,112.19
200,"0000-01-09 07:30:00",0.606,2.756,1.185,4.65,5.62,101489.304,0.071,0.603,0.002,-2.507,123.457
201,"0000-01-09 08:30:00",26.18,3.206,1.332,4.545,5.645,101521.459,0.051,21.69,4.49,4.695,135.341
202,"0000-01-09 09:30:00",81.268,4.049,1.661,4.794,5.746,101545.78,0.061,55.025,26.244,10.471,148.087
203,"0000-01-09 10:30:00",126.076,4.86,1.996,5.018,5.745,101541.029,0.047,73.959,52.115,14.429,161.721
204,"0000-01-09 11:30:00",145.696,5.469,2.199,5.092,5.647,101542.931,0.04,82.058,63.638,16.236,175.998
205,"0000-01-09 12:30:00",137.065,5.834,2.472,5.191,5.496,101490.762,0.061,81.443,55.623,15.718,190.435
206,"0000-01-09 13:30:00",105.583,5.917,2.6,5.088,5.554,101484.515,0.103,66.388,39.197,12.929,204.478
207,"0000-01-09 14:30:00",57.089,5.642,2.592,4.842,5.65,101503.045,0.092,39.573,17.514,8.121,217.736
208,"0000-01-09 15:30:00",12.257,4.918,2.453,4.425,5.786,101527.601,0.041,10.504,1.753,1.667,230.09
209,"0000-01-09 16:30:00",0.01,4.155,2.297,4.261,5.655,101549.523,0.144,0.01,0,-6.035,241.669
210,"0000-01-09 17:30:00",0.015,3.834,2.275,3.959,5.463,101567.135,0.178,0.016,0,-14.612,252.792
211,"0000-01-09 18:30:00",0.016,3.554,2.065,4.024,5.311,101582.577,0.139,0.016,0,-23.72,263.92
212,"0000-01-09 19:30:00",0.014,3.43,1.83,4.096,5.053,101590.679,0.102,0.014,0,-33.017,275.686
213,"0000-01-09 20:30:00",0.014,3.384,1.587,4.2,5.053,101600.296,0.055,0.014,0,-42.101,289.01
214,"0000-01-09 21:30:00",0.01,3.202,1.351,4.102,5.13,101606.274,0.034,0.01,0,-50.383,305.245
215,"0000-01-09 22:30:00",0.01,3.058,1.119,4.093,5.126,101610.755,0.046,0.01,0,-56.896,326.104
216,"0000-01-09 23:30:00",0.005,2.872,0.908,4.026,5.231,101607.916,0.066,0.005,0,-60.23,330.497
217,"0000-01-10 00:30:00",0.002,2.699,0.774,4.035,5.455,101598.325,0.177,0.002,0,-59.244,19.832
218,"0000-01-10 01:30:00",0.003,2.701,0.643,3.922,5.285,101607.408,0.136,0.003,0,-54.313,43.726
219,"0000-01-10 02:30:00",0.01,2.655,0.583,3.791,5.358,101610.177,0.04,0.01,0,-46.862,62.338
220,"0000-01-10 03:30:00",0.012,2.573,0.566,3.757,5.256,101604.653,0.031,0.012,0,-38.129,77.084
221,"0000-01-10 04:30:00",0.012,2.515,0.487,3.73,5.131,101591.683,0.031,0.012,0,-28.884,89.577
222,"0000-01-10 05:30:00",0.012,2.471,0.449,3.725,5.203,101604.863,0.033,0.012,0,-19.616,100.966
223,"0000-01-10 06:30:00",0,2.476,0.575,3.838,5.293,101618.719,0.071,0,0,-10.689,112.022
224,"0000-01-10 07:30:00",1.03,2.457,0.692,3.849,5.41,101651.644,0.027,1.025,0.004,-2.44,123.297
225,"0000-01-10 08:30:00",32.421,3.053,0.88,3.998,5.668,101679.616,0.011,24.545,7.876,4.777,135.188
226,"0000-01-10 09:30:00",83.491,3.815,1.104,4.208,5.725,101711.563,0.007,57.259,26.23,10.572,147.945
227,"0000-01-10 10:30:00",128.744,4.607,1.403,4.397,5.736,101704.126,0.011,81.02,47.721,14.55,161.593
228,"0000-01-10 11:30:00",150.655,5.31,1.742,4.496,5.61,101672.998,0.02,88.703,61.953,16.377,175.892
229,"0000-01-10 12:30:00",148.867,5.702,2.056,4.67,5.568,101644.47,0.034,86.484,62.383,15.874,190.356
230,"0000-01-10 13:30:00",111.129,5.628,2.282,4.711,5.826,101646.354,0.161,70.919,40.211,13.095,204.428
231,"0000-01-10 14:30:00",56.99,5.252,2.353,4.349,6.266,101657.58,0.117,42.959,14.034,8.293,217.71
232,"0000-01-10 15:30:00",12.226,4.532,2.326,4.124,6.375,101690.76,0.092,11.185,1.041,1.841,230.084
233,"0000-01-10 16:30:00",0.049,4.008,2.348,3.999,6.193,101714.523,0.126,0.047,0,-5.861,241.679
234,"0000-01-10 17:30:00",0.012,3.637,2.416,3.925,5.904,101743.097,0.099,0.012,0,-14.439,252.814
